label,id,name,source_document,purpose,description,characteristics
Process,SYS.3,System Architectural Design,ASPICE_PAM_4.1,"The purpose is to establish an analyzed system architecture, comprising the static and dynamic aspects, consistent with the system requirements.",null,null
Process,SYS.4,System Integration and Integration Verification,ASPICE_PAM_4.1,The purpose is to integrate the system elements and to verify that the integrated system elements are consistent with the system architecture.,null,null
Process,SYS.5,System Verification,ASPICE_PAM_4.1,The purpose is to ensure that the system is verified to be consistent with the system requirements.,null,null
Process,VAL.1,Validation,ASPICE_PAM_4.1,"The purpose is to provide evidence that the end product, allowing direct end user interaction, satisfies the intended use expectations in its operational target environment.",null,null
Process,SWE.1,Software Requirements Analysis,ASPICE_PAM_4.1,"The purpose is to establish a structured and analyzed set of software requirements consistent with the system requirements, and the system architecture.",null,null
Process,SWE.2,Software Architectural Design,ASPICE_PAM_4.1,"The purpose is to establish an analyzed software architecture, comprising the static and dynamic aspects, consistent with the software requirements.",null,null
Process,SWE.3,Software Detailed Design and Unit Construction,ASPICE_PAM_4.1,"The purpose is to establish a software detailed design, comprising the static and dynamic aspects, consistent with the software architecture, and to construct the software units consistent with the software detailed design.",null,null
Process,SWE.4,Software Unit Verification,ASPICE_PAM_4.1,The purpose is to verify that software units are consistent with the software detailed design.,null,null
Process,SWE.5,Software Component Verification and Integration Verification,ASPICE_PAM_4.1,"The purpose is to verify that the software components are consistent with the software architectural design, and to integrate the software elements and verify that the integrated software elements are consistent with the software architecture and the software detailed design.",null,null
Process,SWE.6,Software Verification,ASPICE_PAM_4.1,The purpose is to ensure that the integrated software is verified to be consistent with the software requirements.,null,null
Process,MLE.1,Machine Learning Requirements Analysis,ASPICE_PAM_4.1,The purpose is to refine the machine learning-related software requirements into a set of ML requirements.,null,null
Process,MLE.2,Machine Learning Architecture,ASPICE_PAM_4.1,"The purpose is to establish a ML architecture supporting training and deployment of a ML model, consistent with the ML requirements, and to evaluate the ML architecture against defined criteria.",null,null
Process,MLE.3,Machine Learning Training,ASPICE_PAM_4.1,The purpose is to optimize the ML model to meet the defined ML requirements.,null,null
Process,MLE.4,Machine Learning Model Testing,ASPICE_PAM_4.1,The purpose is to ensure the compliance of the trained ML model and the deployed ML model with the ML requirements.,null,null
Process,HWE.1,Hardware Requirements Analysis,ASPICE_PAM_4.1,"The purpose is to establish a structured and analyzed set of hardware requirements consistent with the system requirements, and the system architectural design.",null,null
Process,HWE.2,Hardware Design,ASPICE_PAM_4.1,"The purpose is to provide an analyzed design, including dynamic aspects, that is consistent with the hardware requirements and suitable for manufacturing, and to derive production-relevant data.",null,null
Process,HWE.3,Verification against Hardware Design,ASPICE_PAM_4.1,The purpose is to ensure that the production data compliant hardware is verified to provide evidence for compliance with the hardware design.,null,null
Process,HWE.4,Verification against Hardware Requirements,ASPICE_PAM_4.1,The purpose is to ensure that the complete hardware is verified to be consistent with the hardware requirements.,null,null
Process,SUP.1,Quality Assurance,ASPICE_PAM_4.1,The purpose is to provide independent and objective assurance that the work products and processes comply with the defined criteria and that the non-conformances are resolved and further prevented.,null,null
Process,SUP.8,Configuration Management,ASPICE_PAM_4.1,"The purpose is to establish and maintain the integrity of relevant configuration items and baselines, and to make them available to all affected parties.",null,null
Process,SUP.9,Problem Resolution Management,ASPICE_PAM_4.1,"The purpose is to ensure that problems are identified, recorded, analyzed, and their resolution is managed and controlled.",null,null
Process,SUP.10,Change Request Management,ASPICE_PAM_4.1,"The purpose is to ensure that change requests are recorded, analyzed, tracked, approved, and implemented.",null,null
Process,SUP.11,Machine Learning Data Management,ASPICE_PAM_4.1,"The purpose is to define and align ML data with ML data requirements, maintain the integrity and quality of the ML data, and to make them available to all affected parties.",null,null
Process,MAN.3,Project Management,ASPICE_PAM_4.1,"The purpose is to identify and control the activities, and to establish resources necessary for a project to develop a product, in the context of the project's requirements and constraints.",null,null
Process,MAN.5,Risk Management,ASPICE_PAM_4.1,"The purpose is to regularly identify, analyze, treat and monitor the process related risks and the product related risks.",null,null
Process,MAN.6,Measurement,ASPICE_PAM_4.1,"The purpose is to collect and analyze data relating to the development results and processes implemented within the organization and its projects, to support an effective management of the processes.",null,null
Process,MAN.7,Cybersecurity Risk Management,CS_PAM_2.0,"The purpose is to regularly identify, analyze, prioritize, and monitor risks of damage to relevant stakeholders.",null,null
Process,PIM.3,Process Improvement,ASPICE_PAM_4.1,The purpose is to continually improve the organization's effectiveness and efficiency through the processes used and to ensure alignment of the processes with the business needs.,null,null
Process,REU.2,Reuse of Products,ASPICE_PAM_4.1,"The purpose is to ensure that the reused (work) products are analyzed, verified, and approved for their target context.",null,null
Process,SEC.1,Cybersecurity Requirements Elicitation,CS_PAM_2.0,The purpose is to specify cybersecurity goals and requirements from the outcomes of cybersecurity risk management covering the threat scenarios.,null,null
Process,SEC.2,Cybersecurity Implementation,CS_PAM_2.0,"The purpose is to refine the design of the system, software and hardware, consistent with the cybersecurity requirements and to ensure they are implemented.",null,null
Process,SEC.3,Risk Treatment Verification,CS_PAM_2.0,"The purpose is to confirm that the implementation of the design and integration of the components comply with the cybersecurity requirements, the refined architectural design and detailed design.",null,null
Process,SEC.4,Risk Treatment Validation,CS_PAM_2.0,The purpose is to confirm that the integrated system achieves the associated cybersecurity goals.,null,null
CapabilityLevel,CL0,Incomplete process,ASPICE_PAM_4.1,null,The process is not implemented or fails to achieve its process purpose.,null
CapabilityLevel,CL1,Performed process,ASPICE_PAM_4.1,null,The implemented process achieves its process purpose.,null
CapabilityLevel,CL2,Managed process,ASPICE_PAM_4.1,null,"The performed process is now implemented in a managed fashion and its work products are appropriately established, controlled and maintained.",null
CapabilityLevel,CL3,Established process,ASPICE_PAM_4.1,null,The managed process is now implemented using a defined process capable of achieving its process outcomes.,null
CapabilityLevel,CL4,Predictable process,ASPICE_PAM_4.1,null,The established process now operates predictively within defined limits to achieve its process outcomes.,null
CapabilityLevel,CL5,Innovating process,ASPICE_PAM_4.1,null,The predictable process is now continually improved to respond to organizational change.,null
ProcessAttribute,PA 1.1,Process performance,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 2.1,Process performance management,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 2.2,Work product management,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 3.1,Process definition,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 3.2,Process deployment,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 4.1,Quantitative analysis,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 4.2,Quantitative control,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 5.1,Process innovation,ASPICE_PAM_4.1,null,null,null
ProcessAttribute,PA 5.2,Process innovation implementation,ASPICE_PAM_4.1,null,null,null
InformationItem,02-01,Commitment/agreement,CS_PAM_2.0,null,null,"• Signed off by all parties involved in the commitment/agreement
• Establishes what the commitment is for
• Establishes the resources required to fulfill the commitment, such as:
- time
- people
- budget
- equipment
- facilities"
InformationItem,03-50,Verification measure data,CS_PAM_2.0,null,null,"• Verification measure data are data recorded during the execution of a verification measure, e.g.:
- for test cases: raw data, logs, traces, tool generated outputs
- measurements: values
- calculations: values
- simulations: protocol
- reviews such as optical inspections and findings record
- analyses: values"
InformationItem,04-04,Software architecture,CS_PAM_2.0,null,null,"• A justifying rationale for the chosen architecture.
• Individual functional and non-functional behavior of the software components
• Settings for application parameters (being a technical implementation solution for configurability-oriented requirements)
• Technical characteristics of interfaces for relationships between software components such as:
- Synchronization of Processes and tasks
- Programming language call
- APIs
- Specifications of SW libraries
- Method definitions in an object-oriented class definitions or UML/SysML interface classes
- Callback functions, ""hooks""
• Dynamics of software components and software states such as:
- Logical software operating modes (e.g., start-up, shutdown, normal mode, calibration, diagnosis, etc.)
- intercommunication (processes, tasks, threads) and priority
- time slices and cycle time
- interrupts with their priorities
- interactions between software components
• Explanatory annotations, e.g., with natural language, for single elements or entire diagrams/models."
InformationItem,04-05,Software detailed design,CS_PAM_2.0,null,null,"• Elements of a software detailed design:
- Control flow definition
- Format of input/output data
- Algorithms
- Defined data structures
- Justified global variables
- Explanatory annotations, e.g., with natural language, for single elements or entire diagrams/models
• Examples for expression languages, depending on the complexity or criticality of a software unit:
- natural language or informal languages
- semi-formal languages (e.g., UML, SysML)
- formal languages (e.g., model-based approach)"
InformationItem,04-06,System architecture,CS_PAM_2.0,null,null,"• A justifying rationale for the chosen architecture.
• Individual behavior of system elements
• Interrelationships between system elements
- Settings for system parameters (such as application parameters)
- Manual/human control actions, e.g., according to STPA
• Interface Definitions:
- Technical characteristics of interfaces for relationships between two system elements
• Interfaces between system elements e.g.:
- bus interfaces (CAN, MOST, LIN, Flexray etc.)
- thermal influences
- hardware-software-interfaces (HSI)
- electromagnetic interfaces
- optical interfaces
- hardware-mechanical-interfaces
- hardware-mechanical interconnection technology such as connectors, pressfit
- creepage and clearance distances
• Fixations such as adhesive joints, screw bolts/fitting, riveted bolts, welding
• System interfaces related to EE Hardware e.g.:
- analogue or digital interfaces (PWM, I/O) and their pin configurations
- SPI bus, I2C bus, electrical interconnections
- placement, e.g., thermal interfaces between hardware elements (heat dissipation)
- soldering
- creepage and clearance distances
• Interfaces for mechanical engineering e.g.:
- friction
- thermal influences
- tolerances
- clutches
- fixations such as adhesive joints, screw bolts/fitting, riveted bolts, welding
- forces (as a result of e.g., vibrations or friction)
- placement
- shape
• A hardware-software interface, e.g.:
- connector pin configurations and floating IOs for µCs/MOSFETs
- signal scaling & resolution to be reflected by the application software
• Mechanical-hardware interfaces e.g.
- such as mechanical dimensioning
- positioning of connectors
- positioning of e.g., hall sensors in relation to the bus-bar
- tolerances
• Dynamics of system elements and system states:
- Description of the system states and operation modes (startup, shutdown, sleep mode, diagnosis/calibration mode, production mode, degradation, emergency such as ""limp-home"", etc.)
- Description of the dependencies among the system components regarding the operation modes
- Interactions between system elements such as inertia of mechanical components to be reflected by the ECU, signal propagation and processing time through the hardware and software and e.g., bus systems
• Explanatory annotations, e.g., with natural language, for single elements or entire diagrams/models."
InformationItem,04-52,Hardware architecture,CS_PAM_2.0,null,null,"• Describes the initial floor plan and the overall hardware structure
• Identifies the required hardware components
• Includes the rationale for chosen options of hardware architecture
• Identifies own developed and supplied hardware components
• Identifies the required internal and external hardware component interfaces
• Specifies the interfaces of the hardware components
• Specifies dynamic behavior
• Identifies the relationship and dependency between hardware components
• Describes all hardware variants to be developed
• Describes power supply, thermal and grounding concepts"
InformationItem,04-53,Hardware detailed design,CS_PAM_2.0,null,null,"• Describes the interconnections between the hardware parts
• Specifies the interfaces of the hardware parts
• Specifies the dynamic behavior (examples are: transitions between electrical states of hardware parts, power-up and power-down sequences, frequencies, modulations, signal delays, debounce times, filters, short circuit behavior, self-protection)
• Describes the conclusions and decisions based on e.g., analysis reports, datasheets, application notes
• Describes the constraints for layout"
InformationItem,08-55,Risk treatment,CS_PAM_2.0,null,null,"• Identifies
- the risk to be mitigated, avoided, retained or transferred (shared)
- the activities to mitigate, avoid, retain or transfer (share) the risk
- the originator of the measure
- criteria for successful implementation
- criteria for cancellation of activities
- frequency of monitoring
• Risk treatment alternatives:
- treatment option selected - avoid/reduce/retain/transfer (share)
- alternative descriptions
- recommended alternative(s)
• justifications"
InformationItem,08-57,Validation measure selection set,CS_PAM_2.0,null,null,"• Include criteria for re-validation in the case of changes (regression).
• Identification of validation measures, also for regression"
InformationItem,08-58,Verification measure selection set,CS_PAM_2.0,null,null,"• Include criteria for re-verification in the case of changes (regression).
• Identification of verification measures, also for regression testing"
InformationItem,08-60,Verification measure,CS_PAM_2.0,null,null,"• A verification measure can be a test case, a measurement, a calculation, a simulation, a review, an optical inspection, or an analysis
• The specification of a verification measure includes
- pass/fail criteria for verification measures (test completion and ending criteria)
- a definition of entry and exit criteria for the verification measures, and abort and re-start criteria
• Techniques (e.g., black-box and/or white-box-testing, equivalence classes and boundary values, fault injection for Functional Safety, penetration testing for Cybersecurity, back-to-back testing for model-based development, ICT)
• Necessary verification environment & infrastructure
• Necessary sequence or ordering"
InformationItem,13-51,Consistency evidence,CS_PAM_2.0,null,null,"• Demonstrates bidirectional traceability between artifacts or information in artifacts, throughout all phases of the life cycle, by e.g.,
- tool links
- hyperlinks
- editorial references
- naming conventions
• Evidence that the content of the referenced or mapped information coheres semantically along the traceability chain, e.g., by
- performing pair working or group work
- reviewing by peers, e.g., spot checks
- maintaining revision history in documents
- providing change commenting (via e.g., meta-information) of database or repository entries
• Note: This evidence can be accompanied by e.g., Definition of Done (DoD) approaches."
InformationItem,13-52,Communication evidence,CS_PAM_2.0,null,null,"• All forms of interpersonal communication such as
- e-mails, also automatically generated ones
- tool-supported workflows
- meeting, verbally or via meeting minutes (e.g., daily standups)
- podcast
- blog
- videos
- forum
- live chat
- wikis
- photo protocol"
InformationItem,15-51,Analysis results,CS_PAM_2.0,null,null,"• Identification of the object under analysis.
• The analysis criteria used, e.g.:
- selection criteria or prioritization scheme used
- decision criteria
- quality criteria
• The analysis results, e.g.:
- what was decided/selected
- reason for the selection
- assumptions made
- potential negative impact
• Aspects of the analysis may include
- correctness
- understandability
- verifiability
- feasibility
- validity"
InformationItem,15-52,Verification Results,CS_PAM_2.0,null,null,"• Verification data and logs
• Verification measure passed
• Verification measure not passed
• Verification measure not executed
• information about the test execution (date, tester name etc.)
• Abstraction or summary of verification results"
InformationItem,17-00,Requirement,CS_PAM_2.0,null,null,"• An expectation of functions and capabilities (e.g., non-functional requirements), or one of its interfaces
- from a black-box perspective"
InformationItem,17-54,Requirement attribute,CS_PAM_2.0,null,null,Meta-attributes that support structuring and definition of release scopes of requirements. Can be realized by means of tools. Note: usage of requirements attributes may further support analysis of requirements.
InformationItem,08-56,Schedule,ASPICE_PAM_4.1,null,null,"A plan that defines the times and sequences for events, tasks, or activities. Identifies: Activities, Timing requirements, for example start and due dates, Dependencies between activities, Critical path. Includes: Progress evaluation, for example completion of individual activities, Scheduled resources, Input data, Evaluation of resource workload, Shared resources."
InformationItem,10-00,Process description,ASPICE_PAM_4.1,null,null,"Description of a standard or a defined process. Identifies: Scope, purpose and intended use, Activities including their description and dependencies, Entry and exit criteria such as input information needed and expected outputs for activities, Templates, Guidance documents (for example guidelines, work instructions, standards or method descriptions). Includes: Roles assigned to process activities (for example as RASIC or to work products), Sequence and interaction of activities within the process, Sequence and interaction of the process to other processes, Tailoring guidelines."
InformationItem,13-08,Baseline,ASPICE_PAM_4.1,null,null,"A coherent set of work products which are consistent and complete and may serve as basis for next process steps and/or delivery. A baseline must be unique and not changed any more. Identifies: All work products belonging to the baseline, References using the configuration item properties. Includes: Name, Version, State."
InformationItem,13-19,Review evidence,ASPICE_PAM_4.1,null,null,"A proof to demonstrate a structured check of a work product or a process has taken place.
Identifies:
• Name and version of the review object
• Names and roles of the people who performed the review
• Date
• Status
• Review criteria, for example review method, coverage, justification
• Non-conformances found
• Improvement suggestions
Includes:
• Documents considered, for example checklists, guidelines, work instructions
• Time spent
• Applicable standards"
InformationItem,14-10,Work package,ASPICE_PAM_4.1,null,null,"Activities required to be performed in order to complete a set of work.
Identifies:
• Activities to be performed
• Ownership, for example to a specific domain like verification.
• Dependencies to other activities and work products
• Input and output work products
• Required information
Includes:
• Estimation of efforts and duration
Examples and References:
• Work package can be a statement of work document, for example to outsource activities to an engineering service."
InformationItem,17-05,Requirements for work products,ASPICE_PAM_4.1,null,null,"Statement that identifies a textual, functional, or design characteristic, necessary for work products. Identifies: Expectation to content and structure, Owner and origin of the requirement, Control and approval mechanism, Identification information, Access rights, Status model references, for example as maintenance and disposal requirements. Includes: References to documentation templates, Table of content or other overview documentation, Design constraints, for example predefined and necessary implementation details, Tolerances, Domain specific details, for example of safety and privacy standards."
InformationItem,18-58,Process performance objectives,ASPICE_PAM_4.1,null,null,"Description of performance goals and targets to be achieved by a process. Identifies: Evaluation criteria, Metrics, for example number of change requests, Timing definitions, for example duration until change requests are to be analyzed, Events, for example demonstration milestone. Includes: Assumptions and constraints. Examples and References: Effort or cost targets, Budget limitations, Frequency of tasks, Limits of parallel work items for an employee."
InformationItem,19-01,Process performance strategy,ASPICE_PAM_4.1,null,null,"Description of an approach to achieve performance objectives of a process.
Identifies:
• Proceedings
• Methodology
• Scope of the strategy
Includes:
• Monitoring requirements, for example of performance
• Domain specific references
• Socio-cultural differences
Examples and References:
• Performance specific to development sites
• Configuration management approaches for software"
InformationItem,02-50,Interface agreement,CS_PAM_2.0,null,null,"• Interface agreement should include definitions regarding
- customer and supplier stakeholders and contacts
- tailoring agreements
- customer/supplier responsibilities (e.g., roles, RASIC chart) for distributed activities, including required actions in development and post-development
- share of information/work products in case of issues (e.g., vulnerabilities, findings, risks)
- agreed customer/supplier milestones
- duration of supplier's support and maintenance"
InformationItem,03-55,Validation measure data,CS_PAM_2.0,null,null,"• Validation measure data are data recorded during the execution of a validation measure, e.g.: Logs, traces, raw data, crash dumps, review protocols."
InformationItem,08-59,Validation measure,CS_PAM_2.0,null,null,"• A validation measure can be a test case, a measurement, a simulation, an emulation, or an end user survey
• The specification of a validation measure includes
- pass/fail criteria for validation measures (completion and end criteria)
- a definition of entry and exit criteria for the validation measures, and abort and re-start criteria
• Techniques
• Necessary validation environment & infrastructure
• Necessary sequence or ordering"
InformationItem,12-01,Request for quotation,CS_PAM_2.0,null,null,"• Reference to the requirements specifications
• Cybersecurity responsibilities of the supplier
• The scope of work regarding cybersecurity, including the cybersecurity goals or the set of relevant cybersecurity requirements and their attributes
• Action plan for identified deviations and risks
• Identifies desired characteristics, such as:
- system architecture, configuration requirements or the requirements for service (consultants, maintenance, etc.)
- quality criteria or requirements
- project schedule requirements
- expected delivery/service dates
- cost/price expectations
- regulatory standards/requirements
• Identifies submission constraints:
- date for resubmission of the response
• requirements with regard to the format of response"
InformationItem,13-24,Validation results,CS_PAM_2.0,null,null,"• Validation data, logs, feedback, or documentation
• Validation measure passed
• Validation measure not passed
• Validation measure not executed, and a rationale
• Information about the validation execution (date, participants etc.)
• Abstraction or summary of validation results"
InformationItem,15-09,Risk status,CS_PAM_2.0,null,null,"• Identifies the status, or the change, of an identified risk:
- risk statement
- risk source
- risk impact and risk likelihood
- categories and risk thresholds, e.g., for prioritization or setting a status
- risk treatment activities in progress"
InformationItem,15-21,Supplier evaluation,CS_PAM_2.0,null,null,"• States the purpose of evaluation
• Identifies supplier selection criteria
• Method and instrument (checklist, tool) used for evaluation
• Requirements used for the evaluation
• Assumptions and limitations
• Identifies the context and scope information required (e.g., date of evaluation, parties involved)
• Fulfillment of evaluation requirements"
InformationItem,15-50,Vulnerability analysis evidence,CS_PAM_2.0,null,null,"• Identifies
- ID
- description
- attack path concerned
• attack feasibility (e.g., CVSS (Common Vulnerability Scoring System) rating)"
InformationItem,17-51,Cybersecurity goals,CS_PAM_2.0,null,null,"Describe a property of an asset that it is necessary to protect by means of cybersecurity. This may include: Confidentiality needs, Authorization needs, Integrity needs, Availability needs, etc. Information that can be included in the goals: Goal Title, Objective, Scope, Key Metrics and success criteria, Milestones (if Applicable), Action plan (if applicable), stakeholders involved, link to potential risks, budget and resources, Timeline, Compliance and standards, Sign-off and approval"
InformationItem,17-52,Cybersecurity controls,CS_PAM_2.0,null,null,"Technical solutions to prevent, detect, or mitigate cybersecurity risks. Associated to one or more cybersecurity requirements"
InformationItem,17-53,Cybersecurity threat scenario,CS_PAM_2.0,null,null,"Description of how threats exploit a weakness/vulnerability or multiple weaknesses/vulnerabilities exposing assets to harm, to enable the corresponding risk analysis. Detailed chronological and functional description of an actual or hypothetical threat or group of threats. Sequence of actions that involve interaction with system resulting in a threat scenario. A threat scenario shall include: asset targeted by the threat, cybersecurity property which is compromised, compromise cause of the cybersecurity property. Threat scenarios give a detailed and concrete description of applicable threats, like: ransomware, phishing, spoofing, denial of service"
InformationItem,18-50,Supplier evaluation criteria,CS_PAM_2.0,null,null,"Expectations for conformity, to be fulfilled by suppliers. Links from the expectations to national/international/domain-specific standards/laws/regulations. Requirements' conformity evidence to be provided by the potential suppliers or assessed by the acquiring organization. Agreed exceptions to the requirements"
ProcessOutcome,ACQ.4.OUT.1,null,ASPICE_PAM_4.1,null,"The joint activities, as agreed between the customer and the supplier, are performed.",null
ProcessOutcome,ACQ.4.OUT.2,null,ASPICE_PAM_4.1,null,"All information, agreed upon for exchange, is communicated regularly between the customer and the supplier.",null
ProcessOutcome,ACQ.4.OUT.3,null,ASPICE_PAM_4.1,null,Performance of the supplier is monitored against the agreements.,null
ProcessOutcome,ACQ.4.OUT.4,null,ASPICE_PAM_4.1,null,"The changes to the agreement, if needed, are negotiated between the customer and the supplier and documented in the agreement.",null
ProcessOutcome,SPL.2.OUT.1,null,ASPICE_PAM_4.1,null,The contents of the product releases are determined.,null
ProcessOutcome,SPL.2.OUT.2,null,ASPICE_PAM_4.1,null,The release package is assembled from configured items.,null
ProcessOutcome,SPL.2.OUT.3,null,ASPICE_PAM_4.1,null,The release documentation is defined and produced.,null
ProcessOutcome,SPL.2.OUT.4,null,ASPICE_PAM_4.1,null,The release approval is performed against the defined criteria.,null
ProcessOutcome,SPL.2.OUT.5,null,ASPICE_PAM_4.1,null,The release package is made available to the intended customer.,null
ProcessOutcome,SYS.1.OUT.1,null,ASPICE_PAM_4.1,null,Relevant stakeholders are identified.,null
ProcessOutcome,SYS.1.OUT.2,null,ASPICE_PAM_4.1,null,Continuing communication with the stakeholder is established.,null
ProcessOutcome,SYS.1.OUT.3,null,ASPICE_PAM_4.1,null,"The stakeholder expectations are understood, and the requirements derived from them are defined and agreed upon.",null
ProcessOutcome,SYS.1.OUT.4,null,ASPICE_PAM_4.1,null,The stakeholder requirements changes arising from stakeholder needs are analyzed to enable associated risk assessment and impact management.,null
ProcessOutcome,SYS.1.OUT.5,null,ASPICE_PAM_4.1,null,The status of each stakeholder requirement is transparent for all affected parties.,null
ProcessOutcome,SYS.2.OUT.1,null,ASPICE_PAM_4.1,null,The system requirements are specified.,null
ProcessOutcome,SYS.2.OUT.2,null,ASPICE_PAM_4.1,null,The system requirements are structured and prioritized.,null
ProcessOutcome,SYS.2.OUT.3,null,ASPICE_PAM_4.1,null,The system requirements are analyzed for correctness and technical feasibility.,null
ProcessOutcome,SYS.2.OUT.4,null,ASPICE_PAM_4.1,null,The impact of the system requirements on the operating environment is analyzed.,null
ProcessOutcome,SYS.2.OUT.5,null,ASPICE_PAM_4.1,null,Consistency and bidirectional traceability are established between the system requirements and the stakeholder requirements.,null
ProcessOutcome,SYS.2.OUT.6,null,ASPICE_PAM_4.1,null,The system requirements are agreed and communicated to all affected parties.,null
ProcessOutcome,SYS.3.OUT.1,null,ASPICE_PAM_4.1,null,"A system architecture is designed including a definition of the system elements with their behavior, their interfaces, their relationships, and their interactions.",null
ProcessOutcome,SYS.3.OUT.2,null,ASPICE_PAM_4.1,null,"The system architecture is analyzed against the defined criteria, and the special characteristics are identified.",null
ProcessOutcome,SYS.3.OUT.3,null,ASPICE_PAM_4.1,null,Consistency and bidirectional traceability are established between the system architecture and the system requirements.,null
ProcessOutcome,SYS.3.OUT.4,null,ASPICE_PAM_4.1,null,The agreed system architecture and the special characteristics are communicated to all affected parties.,null
ProcessOutcome,SYS.4.OUT.1,null,ASPICE_PAM_4.1,null,"Verification measures are specified for the system integration verification of the integrated system elements based on the system architecture, including the interfaces of, and interactions between, the system elements.",null
ProcessOutcome,SYS.4.OUT.2,null,ASPICE_PAM_4.1,null,The system elements are integrated up to a complete integrated system consistent with the release scope.,null
ProcessOutcome,SYS.4.OUT.3,null,ASPICE_PAM_4.1,null,"Verification measures are selected according to the release scope considering criteria, including criteria for regression verification.",null
ProcessOutcome,SYS.4.OUT.4,null,ASPICE_PAM_4.1,null,"The integrated system elements are verified using the selected verification measures, and the results of the system integration verification are recorded.",null
ProcessOutcome,SYS.4.OUT.5,null,ASPICE_PAM_4.1,null,Consistency and bidirectional traceability are established between verification measures and the elements of the system architecture.,null
ProcessOutcome,SYS.4.OUT.6,null,ASPICE_PAM_4.1,null,Bidirectional traceability between the verification results and the verification measures is established.,null
ProcessOutcome,SYS.4.OUT.7,null,ASPICE_PAM_4.1,null,Results of the system integration and integration verification are summarized and communicated to all affected parties.,null
ProcessOutcome,SYS.5.OUT.1,null,ASPICE_PAM_4.1,null,Verification measures are specified for the verification of the system based on the system requirements.,null
ProcessOutcome,SYS.5.OUT.2,null,ASPICE_PAM_4.1,null,"Verification measures are selected according to the release scope considering criteria, including criteria for regression verification.",null
ProcessOutcome,SYS.5.OUT.3,null,ASPICE_PAM_4.1,null,The integrated system is verified using the selected verification measures and the results of the system verification are recorded.,null
ProcessOutcome,SYS.5.OUT.4,null,ASPICE_PAM_4.1,null,Consistency and bidirectional traceability are established between verification measures and the system requirements.,null
ProcessOutcome,SYS.5.OUT.5,null,ASPICE_PAM_4.1,null,Bidirectional traceability is established between the verification results and the verification measures.,null
ProcessOutcome,SYS.5.OUT.6,null,ASPICE_PAM_4.1,null,Verification results are summarized and communicated to all affected parties.,null
ProcessOutcome,SWE.1.OUT.1,null,ASPICE_PAM_4.1,null,The software requirements are specified.,null
ProcessOutcome,SWE.1.OUT.2,null,ASPICE_PAM_4.1,null,The software requirements are structured and prioritized.,null
ProcessOutcome,SWE.1.OUT.3,null,ASPICE_PAM_4.1,null,The software requirements are analyzed for correctness and technical feasibility.,null
ProcessOutcome,SWE.1.OUT.4,null,ASPICE_PAM_4.1,null,The impact of the software requirements on the operating environment is analyzed.,null
ProcessOutcome,SWE.1.OUT.5,null,ASPICE_PAM_4.1,null,Consistency and bidirectional traceability are established between the software requirements and the system requirements.,null
ProcessOutcome,SWE.1.OUT.6,null,ASPICE_PAM_4.1,null,Consistency and bidirectional traceability are established between the software requirements and the system architecture.,null
